Id,saleprice
2658,125376.50870394892
2718,146641.84105827124
2414,221117.17384868956
1989,113563.7105507627
625,183998.4699703572
333,70374.08964552908
1327,95820.22784671359
858,171541.33830726042
95,183035.72295796403
1568,165075.0268698713
2482,150662.91627051594
1364,120353.97272191796
2584,147429.10599741916
818,276586.6065477838
2673,144420.60618829454
2089,128130.52535235789
1297,138835.35017769388
790,120964.33655435492
2616,192213.214951983
720,191139.12184117627
222,155843.00820984005
557,118294.17441576661
1148,187413.68629465488
2766,185635.43762672428
534,189411.59560610828
1452,142065.33859068764
630,118278.35142944545
2648,132951.55196696392
125,163952.41325134863
1904,55267.566912364025
1670,94528.14457689345
756,88993.64560724726
717,221613.87384261927
1032,158470.39747933438
852,225745.74223377614
1731,167815.03291316604
2639,106035.0890911146
2071,81765.49177239649
1267,143596.51632408195
1851,208070.9649429499
567,164579.05786784203
2439,211437.3339702101
1898,147486.1674718924
647,180283.75044169743
2256,235242.3385973359
979,90759.97825646147
1444,224282.66999572946
2485,129662.00345083761
157,128615.78869450433
88,118123.38376484868
2003,98359.28884160014
186,214924.1007587194
1425,246992.93712387586
2695,122189.7835558293
738,102663.19754948663
395,157668.24246255713
1353,164837.7719194986
1878,149616.03708862312
390,157980.47478424295
1456,230576.25227563077
1103,309906.08788254496
1387,106438.92928361872
2070,145069.69639542288
1199,171338.96763963273
2479,180181.64912247262
501,335752.6139101257
2362,77417.1519255746
1718,241715.2942532755
2188,79536.89013853554
1483,166773.388205433
2557,85587.48460503029
437,347443.52857451024
2224,192727.4240683043
1628,185580.34669934935
397,133416.25702134048
587,204336.16057134894
2182,457045.77061468665
971,153300.60071641245
2611,129175.41501243788
1887,88584.21164243777
2399,366313.6179939746
2148,203817.83749792736
304,125151.71161903255
1997,129507.66428896083
2817,121359.09656085988
1431,224775.29114848265
427,346154.95353654807
263,144953.49218015352
598,188136.1387335242
2895,261277.80754946143
687,130186.80816123055
1822,128596.11891801725
2191,97404.46388702348
179,106649.6508750956
1009,243510.4026899964
2010,113236.89309217132
1991,139872.08560097465
1411,222354.32876657278
1721,251814.73583066958
1144,198297.9105308487
593,219393.43250930874
575,327437.4091138414
1249,176820.61768830635
1604,132395.3111278846
1064,440475.3664570735
1923,139983.22248610447
1988,121779.22915767823
2325,169894.2050105255
114,191804.61288859363
2700,146242.59837518484
217,119738.23521612733
343,183165.50751755654
386,237112.64116678544
2005,100529.74862111756
2908,130295.56304580171
1814,229900.5370230068
2446,452726.28649906267
208,149022.69910901476
1679,98245.4138427707
822,309386.815094064
6,181044.49266258095
1781,363771.3855317451
2397,318870.8591051239
2340,302891.60783945955
1618,163096.38940532718
2843,149076.38883823183
1061,359585.6242342609
2786,128320.51193933577
1935,127045.6058785188
1341,124901.10423958955
521,265657.7381445041
2136,133443.49028807727
